epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,748.189,0.65991,1.05527,1.35052,1.09364,0.89878,0.56887,0.59425,0.44972,0.83803,0.51389,0.52425,0.37583,0.67311,1.87206,1.3112,0.97727,8.50255e-05,8.50255e-05,8.50255e-05
97,755.628,0.64999,1.22282,1.39632,1.09794,0.8727,0.56944,0.59471,0.44719,0.81516,0.51389,0.52471,0.37901,0.67272,1.90263,1.36459,0.97854,7.08784e-05,7.08784e-05,7.08784e-05
98,763.015,0.67174,0.94599,1.23592,1.02997,0.8727,0.56944,0.59471,0.44719,0.81516,0.51389,0.52471,0.37901,0.67272,1.90263,1.36459,0.97854,5.67313e-05,5.67313e-05,5.67313e-05
99,770.52,0.75978,1.1703,1.42809,1.21263,0.8727,0.56944,0.59471,0.44719,0.81516,0.51389,0.52471,0.37901,0.67272,1.90263,1.36459,0.97854,4.25842e-05,4.25842e-05,4.25842e-05
100,778.202,0.65782,1.01711,1.36732,1.10641,0.87377,0.56944,0.59146,0.44417,0.79196,0.51389,0.51809,0.37651,0.6821,1.90951,1.39348,0.98513,2.84371e-05,2.84371e-05,2.84371e-05
1,8.6286,1.78318,4.84816,3.31026,1.95834,0.0073,0.29167,0.04921,0.02065,0.00678,0.27083,0.03179,0.0171,1.30164,3.36138,3.65463,1.73852,8.574e-05,8.574e-05,8.574e-05
2,16.8584,1.48271,3.67984,3.26304,1.66958,0.00569,0.3125,0.04453,0.01853,0.00456,0.25,0.03439,0.01168,1.35944,3.54261,3.60722,1.70677,0.000183931,0.000183931,0.000183931
3,25.3148,1.35291,3.23537,3.19088,1.54275,0.00562,0.29167,0.0883,0.04517,0.00522,0.27083,0.08929,0.02937,1.17966,3.42821,3.50117,1.50713,0.000280141,0.000280141,0.000280141
4,33.4019,1.3524,3.37221,3.13603,1.58485,0.00594,0.29167,0.15299,0.07405,0.00552,0.27083,0.12462,0.04443,1.08967,3.41813,3.46358,1.4447,0.000374371,0.000374371,0.000374371
5,41.632,1.31374,3.12535,3.04973,1.47047,0.00743,0.33333,0.18723,0.10524,0.00604,0.27083,0.14154,0.04228,1.26128,4.25973,3.44945,1.46287,0.00046662,0.00046662,0.00046662
